method_key,method_label,image_id,haze_level,psnr,ssim_gaussian11,deltaE00
trinitynet,Trinity-Net,satehaze1k_test_thin_016,thin,20.580751419067383,0.893873393535614,7.449041366577148
trinitynet,Trinity-Net,satehaze1k_test_thin_017,thin,19.779436111450195,0.8590536117553711,8.700572967529297
trinitynet,Trinity-Net,satehaze1k_test_thin_018,thin,23.191091537475586,0.8903122544288635,5.653309345245361
trinitynet,Trinity-Net,satehaze1k_test_thin_019,thin,20.155202865600586,0.8894038796424866,7.471785068511963
trinitynet,Trinity-Net,satehaze1k_test_thin_020,thin,22.59777069091797,0.8932328820228577,5.899328708648682
trinitynet,Trinity-Net,satehaze1k_test_thin_021,thin,23.05462074279785,0.8861024379730225,5.603076934814453
trinitynet,Trinity-Net,satehaze1k_test_thin_022,thin,22.655563354492188,0.8895326852798462,5.782542705535889
trinitynet,Trinity-Net,satehaze1k_test_thin_023,thin,20.05082130432129,0.8738759160041809,8.511598587036133
trinitynet,Trinity-Net,satehaze1k_test_thin_024,thin,22.23065185546875,0.8805768489837646,6.0951619148254395
trinitynet,Trinity-Net,satehaze1k_test_thin_025,thin,19.754568099975586,0.8585696816444397,8.795393943786621
trinitynet,Trinity-Net,satehaze1k_test_thin_026,thin,20.469295501708984,0.8763486742973328,7.604701995849609
trinitynet,Trinity-Net,satehaze1k_test_thin_027,thin,20.66421890258789,0.8764088153839111,7.914883613586426
trinitynet,Trinity-Net,satehaze1k_test_thin_028,thin,23.214935302734375,0.8893503546714783,5.539148807525635
trinitynet,Trinity-Net,satehaze1k_test_thin_029,thin,22.207569122314453,0.8862840533256531,6.195666313171387
trinitynet,Trinity-Net,satehaze1k_test_thin_030,thin,23.056297302246094,0.8858383893966675,5.676148414611816
trinitynet,Trinity-Net,satehaze1k_test_thin_031,thin,21.213497161865234,0.8800402283668518,6.81483268737793
trinitynet,Trinity-Net,satehaze1k_test_thin_032,thin,21.796979904174805,0.8983392715454102,6.521194934844971
trinitynet,Trinity-Net,satehaze1k_test_thin_033,thin,21.879940032958984,0.8822310566902161,6.278868675231934
trinitynet,Trinity-Net,satehaze1k_test_thin_034,thin,22.863378524780273,0.8969247937202454,5.913536071777344
trinitynet,Trinity-Net,satehaze1k_test_thin_035,thin,18.950252532958984,0.8565459251403809,8.775786399841309
trinitynet,Trinity-Net,satehaze1k_test_thin_036,thin,21.031509399414062,0.8763852119445801,7.1212310791015625
trinitynet,Trinity-Net,satehaze1k_test_thin_037,thin,20.049312591552734,0.8596504926681519,8.026885986328125
trinitynet,Trinity-Net,satehaze1k_test_thin_038,thin,21.006702423095703,0.9019764065742493,7.029581069946289
trinitynet,Trinity-Net,satehaze1k_test_thin_039,thin,22.346378326416016,0.883496880531311,6.104981422424316
trinitynet,Trinity-Net,satehaze1k_test_thin_040,thin,23.354108810424805,0.902088463306427,5.43094539642334
trinitynet,Trinity-Net,satehaze1k_test_thin_041,thin,20.466571807861328,0.8762780427932739,7.586503028869629
trinitynet,Trinity-Net,satehaze1k_test_thin_042,thin,23.42837905883789,0.8957355618476868,5.385031700134277
trinitynet,Trinity-Net,satehaze1k_test_thin_043,thin,20.737030029296875,0.8963522911071777,7.269155502319336
trinitynet,Trinity-Net,satehaze1k_test_thin_044,thin,21.36658477783203,0.904940664768219,6.788095474243164
trinitynet,Trinity-Net,satehaze1k_test_thin_045,thin,19.62127685546875,0.8551823496818542,8.285264015197754
trinitynet,Trinity-Net,satehaze1k_test_moderate_001,moderate,24.965744018554688,0.8775349855422974,6.361952304840088
trinitynet,Trinity-Net,satehaze1k_test_moderate_002,moderate,26.086795806884766,0.8851792812347412,6.607867240905762
trinitynet,Trinity-Net,satehaze1k_test_moderate_003,moderate,24.122716903686523,0.9157906770706177,6.171988010406494
trinitynet,Trinity-Net,satehaze1k_test_moderate_004,moderate,24.631324768066406,0.9049352407455444,6.655094146728516
trinitynet,Trinity-Net,satehaze1k_test_moderate_005,moderate,22.20644760131836,0.8876203894615173,7.177089691162109
trinitynet,Trinity-Net,satehaze1k_test_moderate_006,moderate,26.149002075195312,0.8998990058898926,6.077045917510986
trinitynet,Trinity-Net,satehaze1k_test_moderate_007,moderate,25.363689422607422,0.9175653457641602,5.772141933441162
trinitynet,Trinity-Net,satehaze1k_test_moderate_008,moderate,25.664688110351562,0.8878020644187927,6.280206203460693
trinitynet,Trinity-Net,satehaze1k_test_moderate_009,moderate,25.412158966064453,0.9142912030220032,6.02772855758667
trinitynet,Trinity-Net,satehaze1k_test_moderate_010,moderate,23.59896469116211,0.9159872531890869,6.3565568923950195
trinitynet,Trinity-Net,satehaze1k_test_moderate_011,moderate,22.39558219909668,0.8819283246994019,6.955288887023926
trinitynet,Trinity-Net,satehaze1k_test_moderate_012,moderate,24.72421646118164,0.9228470325469971,5.5634965896606445
trinitynet,Trinity-Net,satehaze1k_test_moderate_013,moderate,24.419851303100586,0.9129270315170288,5.559287071228027
trinitynet,Trinity-Net,satehaze1k_test_moderate_014,moderate,26.8154239654541,0.9110835194587708,5.0846452713012695
trinitynet,Trinity-Net,satehaze1k_test_moderate_015,moderate,26.517560958862305,0.8779004812240601,5.968836784362793
trinitynet,Trinity-Net,satehaze1k_test_moderate_016,moderate,24.97450065612793,0.8974573612213135,5.730407238006592
trinitynet,Trinity-Net,satehaze1k_test_moderate_017,moderate,25.587711334228516,0.913587749004364,5.17018985748291
trinitynet,Trinity-Net,satehaze1k_test_moderate_018,moderate,23.701210021972656,0.8725031614303589,7.003576755523682
trinitynet,Trinity-Net,satehaze1k_test_moderate_019,moderate,23.22992706298828,0.842988133430481,7.797865390777588
trinitynet,Trinity-Net,satehaze1k_test_moderate_020,moderate,24.374027252197266,0.8547237515449524,6.928328037261963
trinitynet,Trinity-Net,satehaze1k_test_moderate_021,moderate,23.36743927001953,0.9026929140090942,6.541101932525635
trinitynet,Trinity-Net,satehaze1k_test_moderate_022,moderate,24.388412475585938,0.8987193703651428,5.7797770500183105
trinitynet,Trinity-Net,satehaze1k_test_moderate_023,moderate,26.67774200439453,0.9012812972068787,5.893032073974609
trinitynet,Trinity-Net,satehaze1k_test_moderate_024,moderate,24.97728157043457,0.9009258151054382,6.89943790435791
trinitynet,Trinity-Net,satehaze1k_test_moderate_025,moderate,23.120668411254883,0.8908511996269226,7.235110282897949
trinitynet,Trinity-Net,satehaze1k_test_moderate_026,moderate,25.379657745361328,0.8854768872261047,6.439472198486328
